method,instance,n,m,l,k,nro,value,cost
klsfp.json,400_15960_500_12_1,400,15960,500,12,1,10,7505200
klsfp.json,400_15960_400_12_10,400,15960,400,12,10,1,8065200
klsfp.json,500_24950_125_3_1,500,24950,125,3,1,24,485760
klsfp.json,500_24950_125_3_2,500,24950,125,3,2,23,506000
klsfp.json,500_24950_125_3_3,500,24950,125,3,3,17,546480
klsfp.json,500_24950_125_3_4,500,24950,125,3,4,20,485760
klsfp.json,500_24950_125_3_5,500,24950,125,3,5,24,485760
klsfp.json,500_24950_125_3_6,500,24950,125,3,6,23,506000
klsfp.json,500_24950_125_3_7,500,24950,125,3,7,24,485760
klsfp.json,500_24950_125_3_9,500,24950,125,3,9,20,506000
klsfp.json,500_24950_125_3_8,500,24950,125,3,8,24,789360
klsfp.json,500_24950_125_3_10,500,24950,125,3,10,22,526240
klsfp.json,400_15960_500_12_2,400,15960,500,12,2,13,10093200
klsfp.json,400_15960_500_12_4,400,15960,500,12,4,13,7246400
klsfp.json,400_15960_500_12_5,400,15960,500,12,5,8,6728800
klsfp.json,400_15960_500_12_3,400,15960,500,12,3,13,10093200
klsfp.json,400_15960_500_12_7,400,15960,500,12,7,13,7246400
klsfp.json,500_24950_250_7_2,500,24950,250,7,2,3,2000000
klsfp.json,500_24950_250_7_3,500,24950,250,7,3,3,2000000
klsfp.json,400_15960_500_12_9,400,15960,500,12,9,13,7246400
klsfp.json,500_24950_250_7_1,500,24950,250,7,1,3,2800000
klsfp.json,500_24950_250_7_5,500,24950,250,7,5,4,2000000
klsfp.json,500_24950_250_7_4,500,24950,250,7,4,2,2160000
klsfp.json,500_24950_250_7_6,500,24950,250,7,6,4,2480000
klsfp.json,500_24950_250_7_7,500,24950,250,7,7,3,2080000
klsfp.json,400_15960_500_12_6,400,15960,500,12,6,11,10093200
klsfp.json,400_15960_500_12_8,400,15960,500,12,8,11,10093200
klsfp.json,400_15960_500_12_10,400,15960,500,12,10,9,10093200
klsfp.json,500_24950_250_7_9,500,24950,250,7,9,4,2720000
klsfp.json,500_24950_250_7_10,500,24950,250,7,10,3,2640000
klsfp.json,500_24950_250_7_8,500,24950,250,7,8,2,2800000
klsfp.json,500_24950_500_7_1,500,24950,500,7,1,70,4000000
klsfp.json,500_24950_500_7_2,500,24950,500,7,2,75,4000000
klsfp.json,500_24950_500_7_3,500,24950,500,7,3,74,4000000
klsfp.json,500_24950_500_7_4,500,24950,500,7,4,76,4000000
klsfp.json,500_24950_500_7_7,500,24950,500,7,7,79,4000000
klsfp.json,500_24950_500_7_6,500,24950,500,7,6,77,4960000
klsfp.json,500_24950_500_7_10,500,24950,500,7,10,78,4000000
klsfp.json,500_24950_500_7_5,500,24950,500,7,5,72,5440000
klsfp.json,500_24950_500_7_9,500,24950,500,7,9,72,5120000
klsfp.json,500_24950_500_7_8,500,24950,500,7,8,77,5440000
klsfp.json,500_24950_625_7_1,500,24950,625,7,1,113,6200000
klsfp.json,500_24950_625_7_6,500,24950,625,7,6,111,6200000
klsfp.json,1000_99900_250_3_1,1000,99900,250,3,1,57,1086480
klsfp.json,1000_99900_250_3_2,1000,99900,250,3,2,57,1166960
klsfp.json,1000_99900_250_3_3,1000,99900,250,3,3,52,965760
klsfp.json,1000_99900_250_3_4,1000,99900,250,3,4,57,1046240
klsfp.json,500_24950_625_7_7,500,24950,625,7,7,122,7600000
klsfp.json,1000_99900_250_3_5,1000,99900,250,3,5,58,1006000
klsfp.json,1000_99900_250_3_6,1000,99900,250,3,6,59,1569360
klsfp.json,1000_99900_250_3_7,1000,99900,250,3,7,60,1569360
klsfp.json,1000_99900_250_3_10,1000,99900,250,3,10,55,1006000
klsfp.json,1000_99900_250_3_8,1000,99900,250,3,8,51,1569360
klsfp.json,500_24950_625_15_3,500,24950,625,15,3,2,9542400
klsfp.json,1000_99900_250_3_9,1000,99900,250,3,9,51,1569360
klsfp.json,500_24950_625_15_2,500,24950,625,15,2,3,10735200
klsfp.json,500_24950_625_15_5,500,24950,625,15,5,3,9542400
klsfp.json,500_24950_625_15_8,500,24950,625,15,8,3,9542400
klsfp.json,500_24950_625_15_10,500,24950,625,15,10,1,10735200
klsfp.json,500_24950_625_15_4,500,24950,625,15,4,2,13120800
klsfp.json,1000_99900_500_7_6,1000,99900,500,7,6,21,3840000
klsfp.json,1000_99900_500_7_1,1000,99900,500,7,1,17,5120000
klsfp.json,500_24950_625_15_9,500,24950,625,15,9,2,15506400
klsfp.json,1000_99900_500_7_4,1000,99900,500,7,4,18,4800000
klsfp.json,1000_99900_500_7_3,1000,99900,500,7,3,16,4960000
klsfp.json,1000_99900_500_7_5,1000,99900,500,7,5,16,4800000
klsfp.json,1000_99900_500_7_2,1000,99900,500,7,2,18,6240000
klsfp.json,1000_99900_500_7_8,1000,99900,500,7,8,18,5440000
klsfp.json,1000_99900_500_7_7,1000,99900,500,7,7,16,6240000
klsfp.json,1000_99900_500_7_9,1000,99900,500,7,9,17,6240000
klsfp.json,1000_99900_500_7_10,1000,99900,500,7,10,15,5760000
klsfp.json,1000_99900_1000_7_5,1000,99900,1000,7,5,183,8000000
klsfp.json,1000_99900_1000_7_4,1000,99900,1000,7,4,190,10240000
klsfp.json,1000_99900_1000_7_6,1000,99900,1000,7,6,184,9920000
klsfp.json,1000_99900_1000_7_10,1000,99900,1000,7,10,183,10880000
klsfp.json,1000_99900_1000_15_1,1000,99900,1000,15,1,3,15302400
klsfp.json,1000_99900_1000_15_2,1000,99900,1000,15,2,1,17215200
klsfp.json,1000_99900_1000_15_7,1000,99900,1000,15,7,2,17215200
klsfp.json,1000_99900_1000_15_8,1000,99900,1000,15,8,3,17215200
klsfp.json,1000_99900_1000_15_3,1000,99900,1000,15,3,1,24866400
klsfp.json,1000_99900_1250_15_3,1000,99900,1250,15,3,21,19142400
klsfp.json,1000_99900_1000_15_9,1000,99900,1000,15,9,2,24866400
klsfp.json,1000_99900_1250_15_4,1000,99900,1250,15,4,22,21535200
klsfp.json,1000_99900_1250_15_1,1000,99900,1250,15,1,18,30308800
klsfp.json,1000_99900_1250_15_2,1000,99900,1250,15,2,14,31106400
klsfp.json,1000_99900_1250_15_8,1000,99900,1250,15,8,20,21535200
klsfp.json,1000_99900_1250_15_5,1000,99900,1250,15,5,15,31106400
klsfp.json,1000_99900_1250_15_6,1000,99900,1250,15,6,16,31106400
klsfp.json,1000_99900_1250_15_7,1000,99900,1250,15,7,18,31106400
klsfp.json,1000_99900_1250_15_9,1000,99900,1250,15,9,19,30308800
klsfp.json,1000_99900_1250_15_10,1000,99900,1250,15,10,19,31106400
