method,instance,n,m,l,k,nro,value,cost
pilot.json,300_8970_150_4_4,300,8970,150,4,4,33,246159
pilot.json,300_8970_150_4_5,300,8970,150,4,5,32,246159
pilot.json,300_8970_150_4_6,300,8970,150,4,6,36,246159
pilot.json,300_8970_150_4_7,300,8970,150,4,7,38,246159
pilot.json,200_3980_250_6_6,200,3980,250,6,6,48,1359576
pilot.json,300_8970_150_4_8,300,8970,150,4,8,35,246159
pilot.json,200_3980_250_6_9,200,3980,250,6,9,49,1359576
pilot.json,200_3980_250_6_10,200,3980,250,6,10,45,1359576
pilot.json,300_8970_150_4_9,300,8970,150,4,9,40,246159
pilot.json,300_8970_150_4_10,300,8970,150,4,10,31,246159
pilot.json,200_3980_250_12_2,200,3980,250,12,2,1,4764121
pilot.json,200_3980_250_12_1,200,3980,250,12,1,1,4764121
pilot.json,200_3980_250_12_5,200,3980,250,12,5,1,4764121
pilot.json,200_3980_250_12_7,200,3980,250,12,7,1,4764121
pilot.json,200_3980_250_12_8,200,3980,250,12,8,1,4764121
pilot.json,300_8970_300_9_4,300,8970,300,9,4,12,4059819
pilot.json,300_8970_300_9_2,300,8970,300,9,2,11,4059819
pilot.json,300_8970_300_9_3,300,8970,300,9,3,10,4059819
pilot.json,300_8970_300_9_5,300,8970,300,9,5,9,4059819
pilot.json,300_8970_300_9_1,300,8970,300,9,1,9,4059819
pilot.json,300_8970_300_9_6,300,8970,300,9,6,11,4059819
pilot.json,300_8970_300_9_7,300,8970,300,9,7,9,4059819
pilot.json,300_8970_300_9_9,300,8970,300,9,9,9,4059819
pilot.json,300_8970_300_9_10,300,8970,300,9,10,11,4059819
pilot.json,300_8970_300_9_8,300,8970,300,9,8,12,4059819
pilot.json,400_15960_100_3_1,400,15960,100,3,1,18,70102
pilot.json,400_15960_100_3_2,400,15960,100,3,2,15,70102
pilot.json,400_15960_100_3_3,400,15960,100,3,3,19,70102
pilot.json,400_15960_100_3_4,400,15960,100,3,4,21,70102
pilot.json,400_15960_100_3_5,400,15960,100,3,5,14,70102
pilot.json,400_15960_100_3_6,400,15960,100,3,6,17,70102
pilot.json,400_15960_100_3_7,400,15960,100,3,7,18,70102
pilot.json,400_15960_100_3_8,400,15960,100,3,8,16,70102
pilot.json,400_15960_100_3_9,400,15960,100,3,9,16,70102
pilot.json,400_15960_100_3_10,400,15960,100,3,10,14,70102
pilot.json,400_15960_200_6_1,400,15960,200,6,1,7,867676
pilot.json,400_15960_200_6_2,400,15960,200,6,2,7,867676
pilot.json,300_8970_375_9_1,300,8970,375,9,1,24,6368394
pilot.json,400_15960_200_6_3,400,15960,200,6,3,6,867676
pilot.json,300_8970_375_9_2,300,8970,375,9,2,24,6368394
pilot.json,400_15960_200_6_4,400,15960,200,6,4,6,867676
pilot.json,400_15960_200_6_5,400,15960,200,6,5,7,867676
pilot.json,400_15960_200_6_6,400,15960,200,6,6,7,867676
pilot.json,400_15960_200_6_7,400,15960,200,6,7,8,867676
pilot.json,400_15960_200_6_8,400,15960,200,6,8,7,867676
pilot.json,300_8970_375_9_4,300,8970,375,9,4,27,6368394
