"Type","name","Nodes","Edges","Labels","Max","Instance","a","b","c","d","Value","t","Cost"
"CBFS","200_3980_200_6_4",200,3980,200,6,4,251,251,0.090758996,0,32,1.425510284,496293
"CBFS","200_3980_200_6_7",200,3980,200,6,7,251,251,0.089024429,0,30,1.356363348,500025
"CBFS","200_3980_200_6_3",200,3980,200,6,3,251,251,0.098004221,0,40,1.49108414,496918
"CBFS","200_3980_200_6_8",200,3980,200,6,8,251,251,0.088557919,0,29,1.371699536,496483
"CBFS","200_3980_200_6_6",200,3980,200,6,6,251,251,0.094102412,0,34,1.479056433,500355
"CBFS","200_3980_200_6_9",200,3980,200,6,9,251,251,0.091350753,0,38,1.372076808,497980
"CBFS","200_3980_200_6_5",200,3980,200,6,5,251,251,0.090709973,0,34,1.497917107,497950
"CBFS","200_3980_200_6_10",200,3980,200,6,10,251,251,1.121985785,171,29,1.382686508,494987
"CBFS","300_8970_75_2_3",300,8970,75,2,3,79,79,0.017321336,0,47,0.023180352,14779
"CBFS","300_8970_75_2_9",300,8970,75,2,9,79,79,0.017710562,0,45,0.02355445,14779
"CBFS","300_8970_75_4_2",300,8970,75,4,2,140,140,0.060898896,13,1,0.061345199,44216
"CBFS","300_8970_75_4_1",300,8970,75,4,1,140,140,0.052897623,0,2,0.099418643,58164
"CBFS","300_8970_75_4_4",300,8970,75,4,4,140,140,0.051653924,0,1,0.051857468,41720
"CBFS","300_8970_75_4_5",300,8970,75,4,5,140,140,0.053037307,0,1,0.053190967,41720
"CBFS","200_3980_250_12_2",200,3980,250,12,2,460,460,0.326705173,0,1,0.326938925,1355160
"CBFS","200_3980_250_12_1",200,3980,250,12,1,460,460,0.34807731,0,1,0.348295262,1355160
"CBFS","300_8970_75_4_6",300,8970,75,4,6,140,140,0.050591598,0,1,0.050796575,41720
"CBFS","200_3980_250_12_8",200,3980,250,12,8,460,460,0.322623073,0,1,0.322826548,1355160
"CBFS","200_3980_250_6_3",200,3980,250,6,3,264,264,0.096392065,0,47,1.639251009,664456
"CBFS","200_3980_250_12_7",200,3980,250,12,7,460,460,0.358352568,0,1,0.35853901,1355160
"CBFS","200_3980_250_12_5",200,3980,250,12,5,460,460,0.387192401,0,1,0.38738746,1355160
"CBFS","300_8970_75_4_7",300,8970,75,4,7,140,140,0.057023126,0,2,0.099882679,57578
"CBFS","300_8970_75_4_8",300,8970,75,4,8,140,140,0.060261854,11,1,0.060696575,43932
"CBFS","300_8970_75_4_10",300,8970,75,4,10,140,140,0.06343666,25,1,0.063749952,45924
"CBFS","200_3980_250_6_4",200,3980,250,6,4,264,264,0.095355668,0,50,1.723059347,666732
"CBFS","300_8970_150_4_1",300,8970,150,4,1,168,168,0.084729016,0,30,0.307238574,156783
"CBFS","300_8970_150_4_2",300,8970,150,4,2,168,168,0.086695041,0,35,0.301814671,155455
"CBFS","300_8970_150_4_3",300,8970,150,4,3,168,168,0.08574176,0,34,0.320266031,157646
"CBFS","300_8970_150_4_4",300,8970,150,4,4,168,168,0.083211431,0,33,0.31839134,153780
"CBFS","300_8970_150_4_5",300,8970,150,4,5,168,168,0.086467981,0,32,0.318699031,154857
"CBFS","300_8970_150_4_7",300,8970,150,4,7,168,168,0.085313922,0,38,0.320952979,155377
"CBFS","300_8970_150_4_6",300,8970,150,4,6,168,168,0.179889908,42,36,0.333347801,156540
"CBFS","300_8970_150_4_8",300,8970,150,4,8,168,168,0.089728921,0,35,0.340282608,156313
"CBFS","300_8970_150_4_9",300,8970,150,4,9,168,168,0.086703066,0,40,0.297401906,154169
"CBFS","300_8970_150_4_10",300,8970,150,4,10,168,168,0.08571019,0,31,0.212787454,154720
"CBFS","200_3980_250_6_6",200,3980,250,6,6,264,264,0.09798263,0,48,1.081751861,670877
"CBFS","200_3980_250_6_10",200,3980,250,6,10,264,264,0.112464974,0,45,1.134188002,665923
