method,name,Nodes,Edges,Labels,Max,Instance,Base.Value,Base.Cost
pilot.json,300_8970_150_4_4,300,8970,150,4,4,33,5689808
pilot.json,300_8970_150_4_5,300,8970,150,4,5,32,5797950
pilot.json,300_8970_150_4_6,300,8970,150,4,6,36,5827708
pilot.json,300_8970_150_4_7,300,8970,150,4,7,38,5712580
pilot.json,300_8970_150_4_8,300,8970,150,4,8,35,5848740
pilot.json,200_3980_250_6_9,200,3980,250,6,9,49,35114846
pilot.json,200_3980_250_6_6,200,3980,250,6,6,48,34996466
pilot.json,200_3980_250_6_10,200,3980,250,6,10,45,34831188
pilot.json,300_8970_150_4_9,300,8970,150,4,9,40,5724484
pilot.json,300_8970_150_4_10,300,8970,150,4,10,31,5717706
pilot.json,200_3980_250_12_2,200,3980,250,12,2,1,122030682
pilot.json,200_3980_250_12_1,200,3980,250,12,1,1,122409244
pilot.json,200_3980_250_12_5,200,3980,250,12,5,1,121869894
pilot.json,200_3980_250_12_8,200,3980,250,12,8,1,122583248
pilot.json,200_3980_250_12_7,200,3980,250,12,7,1,122078974
pilot.json,300_8970_300_9_1,300,8970,300,9,1,9,110377099
pilot.json,300_8970_300_9_3,300,8970,300,9,3,10,111317711
pilot.json,300_8970_300_9_4,300,8970,300,9,4,12,110863793
pilot.json,300_8970_300_9_5,300,8970,300,9,5,9,110194245
pilot.json,300_8970_300_9_2,300,8970,300,9,2,11,110070413
pilot.json,300_8970_300_9_6,300,8970,300,9,6,11,110631135
pilot.json,300_8970_300_9_7,300,8970,300,9,7,9,110781533
pilot.json,300_8970_300_9_8,300,8970,300,9,8,12,110710419
pilot.json,300_8970_300_9_9,300,8970,300,9,9,9,111004127
pilot.json,300_8970_300_9_10,300,8970,300,9,10,11,110965631
pilot.json,400_15960_100_3_1,400,15960,100,3,1,18,1463854
pilot.json,400_15960_100_3_2,400,15960,100,3,2,15,1458806
pilot.json,400_15960_100_3_3,400,15960,100,3,3,19,1438974
pilot.json,400_15960_100_3_4,400,15960,100,3,4,21,1474604
pilot.json,400_15960_100_3_5,400,15960,100,3,5,14,1462256
pilot.json,400_15960_100_3_6,400,15960,100,3,6,17,1458026
pilot.json,400_15960_100_3_7,400,15960,100,3,7,18,1460446
