"","name","Value","Cost","method","Nodes","Edges","Labels","Max","Instance","Base.Value","Base.Cost","Diff.Value","Diff.Cost","Diff.Has"
"229","500_24950_500_7_9",69,129354372,"pilot.json",500,24950,500,7,9,69,214975408,0,-39.8282932901795,FALSE
"230","500_24950_625_15_10",1,860396059,"pilot.json",500,24950,625,15,10,1,1430775203,0,-39.865042586987,FALSE
"231","500_24950_625_15_2",1,859518307,"pilot.json",500,24950,625,15,2,1,1429987827,0,-39.8933130218877,FALSE
"232","500_24950_625_15_3",1,860393911,"pilot.json",500,24950,625,15,3,1,1430814463,0,-39.8668427494082,FALSE
"233","500_24950_625_15_4",1,859547937,"pilot.json",500,24950,625,15,4,1,1429011909,0,-39.8501907796207,FALSE
"234","500_24950_625_15_5",1,858346995,"pilot.json",500,24950,625,15,5,1,1427108095,0,-39.8541008906547,FALSE
"235","500_24950_625_15_8",1,861150285,"pilot.json",500,24950,625,15,8,1,1432348615,0,-39.878443279676,FALSE
"236","500_24950_625_15_9",1,861717683,"pilot.json",500,24950,625,15,9,1,1432702049,0,-39.8536713476844,FALSE
"237","500_24950_625_7_1",112,209253827,"pilot.json",500,24950,625,7,1,112,347612545,0,-39.8025675396727,FALSE
"238","500_24950_625_7_6",110,209582269,"pilot.json",500,24950,625,7,6,110,348336741,0,-39.8334300314304,FALSE
"239","500_24950_625_7_7",119,210073861,"pilot.json",500,24950,625,7,7,119,349096997,0,-39.8236413359924,FALSE
