,name,Value,Cost,method,Nodes,Edges,Labels,Max,Instance,Base.Value,Base.Cost,Diff.Value,Diff.Cost,Diff.Has,Type,NodesC,EdgesC,LabelsC,MaxC,InstanceC,a,b,c,d,ValueC,t,CostC,Diff.ValueC,Diff.CostC
30,100_990_50_3_1,16,176584,pilot.json,100,990,50,3,1,16,294812,0,-40.1028452030447,FALSE,CBFS,100,990,50,3,1,98,98,0.002428217,0,16,0.004651496,19248,0,817.414796342477
31,100_990_50_3_2,20,177050,pilot.json,100,990,50,3,2,20,294504,0,-39.8819710428381,FALSE,CBFS,100,990,50,3,2,98,98,0.002418087,0,20,0.004668778,19503,0,807.809055017177
32,100_990_50_3_4,21,171434,pilot.json,100,990,50,3,4,21,285336,0,-39.9185521630639,FALSE,CBFS,100,990,50,3,4,98,98,0.002558412,0,21,0.00487069,19559,0,776.496753412751
33,100_990_50_3_5,18,173138,pilot.json,100,990,50,3,5,18,287146,0,-39.7038440375279,FALSE,CBFS,100,990,50,3,5,98,98,0.003419278,7,17,0.005488386,19555,5.88235294117647,785.389925850166
34,100_990_50_3_6,17,169206,pilot.json,100,990,50,3,6,17,281150,0,-39.8164680775387,FALSE,CBFS,100,990,50,3,6,98,98,0.002437103,0,17,0.004615197,19271,0,778.034352135333
35,100_990_50_3_7,22,172530,pilot.json,100,990,50,3,7,22,289800,0,-40.4658385093168,FALSE,CBFS,100,990,50,3,7,98,98,0.002494852,0,22,0.004876941,19860,0,768.731117824773
36,100_990_50_3_9,16,172946,pilot.json,100,990,50,3,9,16,287598,0,-39.8653676312074,FALSE,CBFS,100,990,50,3,9,98,98,0.002490033,0,16,0.004740283,19353,0,793.639229060094
37,100_990_50_6_10,1,532397,pilot.json,100,990,50,6,10,1,896790,0,-40.6330356047681,FALSE,CBFS,100,990,50,6,10,165,165,0.010146996,0,1,0.010222568,48015,0,1008.81391231907
38,100_990_50_6_3,1,528309,pilot.json,100,990,50,6,3,1,889258,0,-40.5899075408936,FALSE,CBFS,100,990,50,6,3,165,165,0.009421105,0,1,0.009502068,48015,0,1000.29990627929
39,100_990_50_6_8,1,529631,pilot.json,100,990,50,6,8,1,893882,0,-40.7493382795492,FALSE,CBFS,100,990,50,6,8,165,165,0.010499762,0,1,0.010581998,48015,0,1003.05321253775
40,1000_99900_1000_15_1,1,2424425162,pilot.json,1000,99900,1000,15,1,1,4030297382,0,-39.8450056606766,FALSE,CBFS,1000,99900,1000,15,1,756,756,15.646931416,0,1,15.647198334,11271960,0,21408.4613678544
41,1000_99900_1000_15_2,1,2411812716,pilot.json,1000,99900,1000,15,2,1,4010389710,0,-39.8608890805278,FALSE,CBFS,1000,99900,1000,15,2,756,756,15.498731388,0,1,15.49900052,11271960,0,21296.5691503518
42,1000_99900_1000_15_3,1,2418455350,pilot.json,1000,99900,1000,15,3,1,4021478832,0,-39.8615422079138,FALSE,CBFS,1000,99900,1000,15,3,756,756,14.578930522,0,1,14.579250254,11271960,0,21355.4997533703
43,1000_99900_1000_15_7,1,2421168340,pilot.json,1000,99900,1000,15,7,1,4025288980,0,-39.8510677859456,FALSE,CBFS,1000,99900,1000,15,7,756,756,14.248029444,0,1,14.248367362,11271960,0,21379.5682383543
44,1000_99900_1000_15_8,1,2421412112,pilot.json,1000,99900,1000,15,8,1,4025707376,0,-39.8512637447099,FALSE,CBFS,1000,99900,1000,15,8,756,756,14.928209627,0,1,14.928450864,11271960,0,21381.7308791018
45,1000_99900_1000_15_9,1,2419716908,pilot.json,1000,99900,1000,15,9,1,4022966686,0,-39.8524249176445,FALSE,CBFS,1000,99900,1000,15,9,756,756,15.203502662,0,1,15.203809058,11271960,0,21366.6917554711
46,1000_99900_1000_7_10,180,586981991,pilot.json,1000,99900,1000,7,10,180,974951266,0,-39.7937095452728,FALSE,CBFS,1000,99900,1000,7,10,398,398,19.562035985,186,179,36.766094598,5049388,0.558659217877095,11524.8145517833
47,1000_99900_1000_7_4,185,584663171,pilot.json,1000,99900,1000,7,4,185,971327150,0,-39.8078010071066,FALSE,CBFS,1000,99900,1000,7,4,398,398,13.680707424,55,182,41.679993944,5037857,1.64835164835165,11505.3943373145
48,1000_99900_1000_7_5,181,587158419,pilot.json,1000,99900,1000,7,5,181,975597224,0,-39.8154889583819,FALSE,CBFS,1000,99900,1000,7,5,398,398,27.73415372,221,174,41.799076693,5034003,4.02298850574713,11563.8472205916
49,1000_99900_1000_7_6,184,588200539,pilot.json,1000,99900,1000,7,6,184,976909510,0,-39.7896598427013,FALSE,CBFS,1000,99900,1000,7,6,398,398,17.155342001,158,182,36.908019662,5057845,1.0989010989011,11529.4694479566
50,1000_99900_1250_15_1,11,3958783007,pilot.json,1000,99900,1250,15,1,11,6575923468,0,-39.7988278564315,FALSE,CBFS,1000,99900,1250,15,1,789,789,194.379223631,338,11,434.021556556,25883508,0,15194.6154246171
51,1000_99900_1250_15_10,12,3959316367,pilot.json,1000,99900,1250,15,10,12,6576716220,0,-39.7979746342165,FALSE,CBFS,1000,99900,1250,15,10,789,789,21.627513506,0,13,431.957005151,25761946,-7.69230769230769,15268.8559358055
52,1000_99900_1250_15_2,10,3959417117,pilot.json,1000,99900,1250,15,2,10,6576081046,0,-39.7906277416034,FALSE,CBFS,1000,99900,1250,15,2,789,789,199.848727672,364,10,432.899163498,25771472,0,15263.5660275827
53,1000_99900_1250_15_3,10,3953692833,pilot.json,1000,99900,1250,15,3,10,6567174196,0,-39.7961327810041,FALSE,CBFS,1000,99900,1250,15,3,789,789,337.022868467,583,10,437.629790196,25996498,0,15108.5593721123
54,1000_99900_1250_15_4,12,3953756311,pilot.json,1000,99900,1250,15,4,12,6568092116,0,-39.8035800781695,FALSE,CBFS,1000,99900,1250,15,4,789,789,18.865949784,0,13,430.172083301,25457712,-7.69230769230769,15430.68206208
