Nodes,Labels,Max,avg_val,std_val,avg_cost,std_cost
100,25,3,0,0,372.280825169974,29.3443228260246
100,50,3,0.840336134453781,2.22332042946604,789.64503280611,17.7022974269956
100,50,6,0,0,1004.05567704537,4.34462610912912
100,100,6,3.22594072594073,4.19277344787949,1250.39981849928,9.48120146695466
100,125,6,0,0,1547.29885371314,18.8442590976273
200,50,3,0,0,818.312153567517,12.8084460849146
200,100,6,-5,15.8113883008419,1657.43086202494,383.218492024548
200,200,6,1.33548850574713,2.37121315188365,2488.82495024761,21.1525387265137
200,250,6,0,0,3047.57628976689,12.3296848392966
200,250,12,0,0,5301.49245845509,14.0783276778153
300,75,2,0,0,1540.96352933216,19.4156527373638
300,75,4,0,0,1427.57603493276,202.384746334522
300,150,4,0,0,2128.80283187653,13.680441739099
300,300,9,-0.924242424242424,5.20199568494762,3675.65820080527,22.5306247845138
300,375,9,4.64490252098948,5.34272457707592,4446.20256747235,26.3688019214757
400,100,3,0.5,1.58113883008419,1650.22805685022,21.1791243077584
400,200,6,1.46031746031746,16.3300687636208,2642.44353015457,33.0425619688919
400,400,6,0,0,4844.09357121486,0
400,400,12,0,0,8131.20778569885,767.241405542666
400,500,12,7.61904761904762,16.1624407128354,6078.76118251241,32.7374469579138
500,125,3,0.434782608695652,1.37490333050799,1995.52251159461,21.5095988896682
500,250,7,-6.66666666666667,36.1751568802216,3273.17232782881,39.6422739157508
500,500,7,2.03469812956087,2.38055053234871,5907.37162525169,17.3735648166592
500,625,7,0.606110697853817,0.524972328962247,7229.46384034448,9.81909930919139
500,625,15,0,0,13443.7120376781,17.7101414775744
1000,250,3,0.169491525423729,0.535979264435319,3796.32533552625,20.3957302807291
1000,500,7,3.6959706959707,7.90512155820018,6283.26583036365,30.0173612108649
1000,1000,7,1.83222511771924,1.52675995634295,11530.8813894115,24.325130677786
1000,1000,15,0,0,21364.7535240839,37.8327365754686
1000,1250,15,-4.06526806526807,7.24701589431031,15280.382991078,118.945905662054
