"","Nodes","avg_val","std_val","avg_cost","std_cost"
"1",100,0,0,-39.9495062099368,0.350153735782469
"2",200,0,0,-40.0540251954836,0.14895740890251
"3",300,0,0,-40.0450977210895,0.242086978112752
"4",400,-0.25,1.58113883008419,-39.9421001573129,0.0669260865887015
"5",500,0,0,-39.9316743934829,0.0991942467915614
"6",1000,0.602564102564103,3.99241935797642,-39.8810895776975,0.0856054966731401
